DOI	PubMed_ID	Scopus_ID	Web_of_Science_ID	URL	Database	Document_Type_Final	Document_Type_Scopus	Document_Type_Web_of_Science	Document_Type_Other	Reference_Detail	CORE	Authors	Title 	Year	Publication_Date 	Early_Access_Date	Source_Title 	ISSN	ISBN	Volume	Issue	Page_Start	Page_End	Supplemental_Issue	Special_Issue	Meeting_Abstract	Notes	Reference_Type	Document_Citation	CARDIA_Document_Cited	Level_of_Influence	Scopus	WOS	PubMed	Embase	ASC	CINAHL	CHC	APA_PI	CK	Uptodate	NU	PQC	WC	AHRQ	PPH	CDC	HP2020	Healthgov	MedlinePlus	NAP	OA	Dataverse	Dryad	Figshare	Mendeley_Data	OSF	Vivili	Zenodo	DigitalHub
10.1016/j.jacc.2015.03.561	26046743	2-s2.0-84930892571	WOS:000355446500017			Article	Letter	Letter	Letter	MS	CORE	"Sharma, S; Colangelo, LA; Lima, J; Liu, K; Desai, C; Kishi, S; Reis, J; Greenland, P"	Effects of Weight and Weight Change on Cardiac Remodeling Over 20 Years The CARDIA (Coronary Artery Risk Development in Young Adults) Study	2015	9-Jun		JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	0735-1097		65	22	2463	2465					CINAHL Journal Article				1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.3945/ajcn.112.039180	NA	2-s2.0-84863559414	WOS:000305670100036			Article	Letter	Letter	Letter	RTL	CORE	"Jacobs, DR; Sijtsma, FPC; Meyer, KA; Steffen, LM; Harnack, L; Shikany, JM; Van Horn, L; Kromhout, D"	Inclusion of changing food supply when observing longitudinal trends in diet Reply	2012	JUL		AMERICAN JOURNAL OF CLINICAL NUTRITION	0002-9165		96	1	220	222					CINAHL Journal Article				1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1001/jama.2012.3607	NA	2-s2.0-84860464167	WOS:000303386800011			Article	Letter	Letter	Letter	RTL	CORE	"Pletcher, MJ; Kertesz, SG"	Long-term Marijuana Use and Pulmonary Function Reply	2012	2-May		JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	0098-7484		307	17	1796	1797					APA PI Journal Article				1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1001/jama.2011.397	NA	2-s2.0-79953748189	WOS:000289162400012			Article	Letter	Letter	Letter	MS	CORE	"Jolley, S; Porter, B; Amory, J"	Physical Activity and Weight Gain Over 20 Years	2011	6-Apr		JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	0098-7484		305	13	1297	1297					APA PI Journal Article				1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1093/aje/kwq237	NA	2-s2.0-77956917253	WOS:000281949100018			Article	Letter	Letter	Letter	RTL	CORE	"Halanych, JH; Safford, MM; Kertesz, SG; Person, SD; Kiefe, CI"	RE: ALCOHOL CONSUMPTION IN YOUNG ADULTS AND INCIDENT HYPERTENSION: 20-YEAR FOLLOW-UP FROM THE CORONARY ARTERY RISK DEVELOPMENT IN YOUNG ADULTS STUDY'' REPLY	2010	15-Sep		AMERICAN JOURNAL OF EPIDEMIOLOGY	0002-9262		172	6	744	745					WOS Letter				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1093/aje/kwk095	NA	2-s2.0-33846201749	WOS:000243495400017			Article	Letter	Letter	Letter	RTL	CORE	"Lauderdale, DS; Knutson, KL; Rathouz, PJ; Yan, LJL; Hulley, SB; Sidney, S; Liu, K"	Re: Objectively measured sleep characteristics among early-middle-aged adults: The CARDIA study - The authors reply	2007	15-Jan		AMERICAN JOURNAL OF EPIDEMIOLOGY	0002-9262		165	2	232	U8					WOS Letter				1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1161/01.ATV.0000069327.34755.72	12740226	2-s2.0-0038639374	WOS:000182742500034			Article	Letter	Letter	Letter	LT	CORE	"Juo, SHH; Colangelo, L; Han, ZH; Smith, JD; Liu, K"	Confirmation of the microsomal triglyceride transfer protein genetic effect on lipids in young African American men from the CARDIA study	2003	MAY		ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	1079-5642		23	5	912	913					Embase Journal Article				1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1161/JAHA.118.009971	30007937	2-s2.0-85050463021	WOS:000452803800042			Editorial Material	Editorial	Editorial Material	Editorial; Editorial Material	AS	CORE	"Egan, BM"	Defining Hypertension by Blood Pressure 130/80 mm Hg Leads to an Impressive Burden of Hypertension in Young and Middle-Aged Black Adults: Follow-Up in the CARDIA Study	2018	17-Jul		JOURNAL OF THE AMERICAN HEART ASSOCIATION	2047-9980		7	14							CINAHL Journal Article				1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1016/j.jacc.2012.11.053	23428218	2-s2.0-84874530479	WOS:000315199400011			Editorial Material	Article	Editorial Material		MS	CORE	"Walsh, JA; Ilkhanoff, L; Soliman, EZ; Prineas, R; Liu, K; Ning, HY; Lloyd-Jones, DM"	Natural History of the Early Repolarization Pattern in a Biracial Cohort: CARDIA (Coronary Artery Risk Development in Young Adults) Study	2013	26-Feb		JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	0735-1097		61	8	863	869					CINAHL Journal Article				1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1158/1055-9965.EPI-07-0637	18086788	2-s2.0-38849147588	WOS:000251856100036			Editorial Material	Article	Editorial Material		AS	CORE	"Kim, YL; Jacobs, DR; Gross, MD; Bergan, RC; Gann, PH; Liu, K; Gapstur, SM"	Associations of serum carotenoid levels with serum insulin-like growth factor-I and insulin-like growth factor binding protein-3 levels in black men and white men	2007	DEC		CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION	1055-9965		16	12	2781	2783					WOS Editorial Material				1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
