Grant_Numbers,records,percent_of_total
N01-HC 48050,2,0.268
N01-HC 95100,2,0.268
N01-HC-048049,2,0.268
N01-HC-4805,2,0.268
N01-HC-95159,2,0.268
N01-HC-95169,2,0.268
N01-HV-48047,2,0.268
N01-HV-48049,2,0.268
N01HC-48047,2,0.268
N01HC45204,2,0.268
P01 AG011412,2,0.268
P20GM104357,2,0.268
P30 ES010126,2,0.268
P30-AG028748,2,0.268
P30-DK092924,2,0.268
P50 HL065111,2,0.268
P50 HL065112,2,0.268
P60 DK079637,2,0.268
PF-HC95095,2,0.268
R01 CA12115,2,0.268
R01 HL 053560,2,0.268
R01 HL 098445,2,0.268
R01 HL098604,2,0.268
R01 HL53359,2,0.268
R01 HL53560,2,0.268
R01-119159,2,0.268
R01-AG026364,2,0.268
R01-AG034588,2,0.268
R01-AG12264-01A1,2,0.268
R01-HL-078972,2,0.268
R01-HL-081572,2,0.268
R01-HL-086792,2,0.268
R01-HL079955,2,0.268
R01-HL104580,2,0.268
R01-MH091352,2,0.268
R01ES021735,2,0.268
R03AG028504,2,0.268
R29 HL59386,2,0.268
RO1-HL-53560,2,0.268
RR00051,2,0.268
RR00052,2,0.268
RR00054,2,0.268
RR00083,2,0.268
RR0636,2,0.268
SFRN 15SFRN2390002,2,0.268
T32 5T32DK060414-13,2,0.268
T32 HL 69771-8,2,0.268
T32-HL-007779,2,0.268
T32-MH19925,2,0.268
U01 HL066642,2,0.268
U01 HL066682,2,0.268
U49-CE000764,2,0.268
UL1 RR024131,2,0.268
UL1-TR-000040,2,0.268
1 K01 DK059944,1,0.134
1 K12 AR47659,1,0.134
1 P20 RR020173-01,1,0.134
1 P30 AG21677,1,0.134
1 R01HL078972,1,0.134
1 R36EH000308-01,1,0.134
1 T32 HL07779,1,0.134
1 U01 HL125212-01,1,0.134
1-R 29-HL51151-01,1,0.134
1-T32-HL07902,1,0.134
12GRNT11780061,1,0.134
12POST11810036,1,0.134
13 POST 16820054,1,0.134
13FTF16070002,1,0.134
14BGIA18520004,1,0.134
14SFRN20740000,1,0.134
14SFRN20790000,1,0.134
15GPSGC24800006,1,0.134
15SFDRN25080331,1,0.134
15SFDRN25620022,1,0.134
17IEA33410161,1,0.134
17SFRN33700278,1,0.134
1D12HP00023,1,0.134
1IK2RX001629,1,0.134
1K12AG01004,1,0.134
1K23DK093710-01A1,1,0.134
1P0 HL108800-01A1,1,0.134
1P60 MD006902,1,0.134
1R011-HL53560-01A1,1,0.134
1R01AG046206,1,0.134
1R01DK078124,1,0.134
1R01DK59240,1,0.134
1R01HL072810,1,0.134
1R01HL088531-01A1,1,0.134
1RO1-HL53560,1,0.134
1ZIAAG007480,1,0.134
2 K01 DK059944,1,0.134
2-507-RRR05829-07,1,0.134
2012-2291,1,0.134
20122291,1,0.134
20160903,1,0.134
2016A030310140,1,0.134
21301 AA012162,1,0.134
2S07-RR-05448,1,0.134
2T32 HL0328-25,1,0.134
2T32DK062710-11,1,0.134
2T32HL007854,1,0.134
2T32HL007854-21,1,0.134
3 P60 MD000502-08S1,1,0.134
32-HL-07036,1,0.134
3P30DK056336-13S1,1,0.134
3R01AG043972-03S2,1,0.134
3R02HL 088531-02S1,1,0.134
4R00HL109247-03,1,0.134
5 K01 HL73249-02,1,0.134
5 K01 HL73249-03,1,0.134
5 R01-AR40430-03,1,0.134
5 T32 HS013852-09,1,0.134
5-K23-HL087114,1,0.134
5-R01-HL078972,1,0.134
5-T32-HL069771-04,1,0.134
512HL083790,1,0.134
5K23DK103963,1,0.134
5K23HL098476-02,1,0.134
5K24DK085153,1,0.134
5K24DK103992,1,0.134
5M01RR00997,1,0.134
5P20DA017589,1,0.134
5R01 AG26105-3,1,0.134
5R03-DK095877-03,1,0.134
5T32DK071212,1,0.134
5T32DK091227-03,1,0.134
5T32HL120823-03,1,0.134
5T32MH019925-15,1,0.134
5TL1TR001454,1,0.134
8 UL1TR000041,1,0.134
81302512,1,0.134
81600206,1,0.134
81870195,1,0.134
8P20 GM-1033528,1,0.134
A050463,1,0.134
AC0005,1,0.134
AG-0005,1,0.134
AG-17056,1,0.134
AG-17265,1,0.134
AG005,1,0.134
AG030309,1,0.134
AGO 32136,1,0.134
AGO005,1,0.134
AI 66943,1,0.134
AI034238,1,0.134
AI50410,1,0.134
AR048269,1,0.134
AR055240,1,0.134
AT009156,1,0.134
CA154862,1,0.134
CARDIA 1RO1-HL53560-01A1,1,0.134
Contract N01-HC-48047,1,0.134
Contract N01-HC-48049,1,0.134
D14 HP00178,1,0.134
D55HP05165,1,0.134
DK57508,1,0.134
DP3-DK-098129,1,0.134
ES10932,1,0.134
F31 HL129494,1,0.134
F31 HL129701,1,0.134
F31-DK-105791,1,0.134
F32 DK061831,1,0.134
F32 DK061831-02,1,0.134
F32DA024920,1,0.134
F32HL094031,1,0.134
F32HL129695,1,0.134
GM-65509,1,0.134
GM65509,1,0.134
H01-HC 48047,1,0.134
H01-HC 48048,1,0.134
H01-HC 48049,1,0.134
HC 48047,1,0.134
HC 48048,1,0.134
HC 48049,1,0.134
HC 48050,1,0.134
HC-48,,
HC-48,,
HC-48,,
HC-48,,
HC045134,1,0.134
HC05187,1,0.134
HE-03429,1,0.134
HE-05121,1,0.134
HH SN268201300028C,1,0.134
HH-SN268200900041C,1,0.134
HH-SN268201300027C,1,0.134
HH5N268201300027C,1,0.134
HH5N268201300029C,1,0.134
HHS-N2-68200900041C,1,0.134
HHS-N2-68201300025C,1,0.134
HHS-N2-68201300026C,1,0.134
HHS-N2-68201300027C,1,0.134
HHS-N2-68201300028C,1,0.134
HHS-N2-68201300029C,1,0.134
HHSN 268200900041C,1,0.134
HHSN 268201300026C,1,0.134
HHSN-268200900041C,1,0.134
HHSN-268201300025C,1,0.134
HHSN-268201300026C,1,0.134
HHSN-268201300029C,1,0.134
HHSN2 68201300026C,1,0.134
HHSN2 68201300027C,1,0.134
HHSN26 8201300025C,1,0.134
HHSN26 8201300026C,1,0.134
HHSN267200715002C,1,0.134
HHSN267200715003C,1,0.134
HHSN268 200900041C,1,0.134
HHSN268 201300026C,1,0.134
HHSN268 201300027C,1,0.134
HHSN268 201300029C,1,0.134
HHSN268-201300028C,1,0.134
HHSN2682 01300026C,1,0.134
HHSN2682 01300028C,1,0.134
HHSN2682 01300029C,1,0.134
HHSN2682-01300028C,1,0.134
HHSN26820 1300027C,1,0.134
HHSN26820 1300029C,1,0.134
HHSN26820-0900041C,1,0.134
HHSN26820042505 C,1,0.134
HHSN268200425204 C,1,0.134
HHSN26820090 0041C,1,0.134
